BG-B-INBET-D90-SMB ;SAMBAND;Inbetalningar från bankgiro
BG-B-INBET-TRANS-L82-SMB ;SAMBAND;BGC skickar fil med inbettransar eller felkod för återrapportering.
BGC-B-AUTOGIRO-L66-SMB ;SAMBAND;Batch: Återrapportering autogiro
B40-B-AVISER-PREM-H30-SMB ;SAMBAND;Aviseringsinforemation med premier
B40-B-AVSTÄM-C01-SMB ;SAMBAND;Avstämningsuppgifter
B40-B-AVSTÄM-D91-SMB ;SAMBAND;Avstämningspost för B41.FKONTO
B40-B-BEST-C10-SMB ;SAMBAND;C10 hämtar gällande avtal i batch
B40-B-BEST-H40-SMB ;SAMBAND;Beståndsinformation
B40-B-BEST-K60-SMB ;SAMBAND;Beståndsinformation
B40-B-BEST-MÅNAD-H40-SMB ;SAMBAND;Beståndsinformation
B40-B-BEST-MARKNAD-C10-SMB ;SAMBAND;Beståndsinformation, Marknadsbearbetningar FOKUS
B40-B-BEST-1-C01-SMB ;SAMBAND;Beståndsinformation, Aktuariella bearbetningar
B40-B-BEST-2-C01-SMB ;SAMBAND;Beståndsinformation, Aktuariella bearbetningar
B40-B-BETAL-INFO-H30-SMB ;SAMBAND;Betalningsinformation
B40-B-BETAL-UPPDRAG-D91-SMB ;SAMBAND;Betalningsuppdrag
B40-B-BOKFÖR-E33-SMB ;SAMBAND;Bokföringsuppgifter f.v.b till R/3
B40-B-BOKFÖR-R3-SMB ;SAMBAND;Bokföringsuppgifter
B40-B-CBR-TRANS-NYA-H50-SMB ;SAMBAND;CBR-transaktioner, nya och förändrade
B40-B-CBR-TRANS-NYA-N60-SMB ;SAMBAND;CBR.transaktioner, Nya och ändrade försäkringar
B40-B-DEB-KRED-D91-SMB ;SAMBAND;Debiteringar och krediteringar
B40-B-FORSINFO-Y05-SMB ;SAMBAND;FÖRSÄKRINGSINFORMATION
B40-B-FORSINFO-Z01-SMB ;SAMBAND;Försäkringsinformation
B40-B-KUND-INFO-BACKUP-H30-SMB ;SAMBAND;Kundinformation
B40-B-KUND-INFO-H30-SMB ;SAMBAND;Kundinformation till H31.KNDIND
B40-B-KUND-INFO-H50-SMB ;SAMBAND;Kundinformation
B40-B-OMFATT-SJÄLVRIS-H30-SMB ;SAMBAND;Omfattning och självriskinformation
B40-B-OMFATT-SJÄLVRIS-K60-SMB ;SAMBAND;Omfattnings och självriskinformation
B40-B-PREM-ÅTERBET-H30-SMB ;SAMBAND;Underlag för premieåterbetalning till E06
B40-B-PROVI-UTBET-H40-SMB ;SAMBAND;Underlag för provisionsbevakning och utbetalning. Även för försäljningsstatistik f.v.b.
B40-B-SÄLJINFO-G01-SMB ;SAMBAND;Säljinformation
B40-B-STATI-C01-SMB ;SAMBAND;Beståndsinformation, Aktuariella bearbetningar
CALLCENT-O-FOND-KURS-L88-SMB ;SAMBAND;Online: Inmatning av fondernas kurser. Interna och externa fonder.
CBR-B-K60-SMB ;SAMBAND;
C01-B-BEST-C03-SMB ;SAMBAND;Beståndsuppgifter
C02-B-BEST-C03-SMB ;SAMBAND;Beståndsfil
C03-B-SKADEBEST-C04-SMB ;SAMBAND;Skadebestånd
C10-B-KUNDPOST-G60-SMB ;SAMBAND;Kundpost
C10-B-NEJ-TILL-ÅRSRAPP-L88-SMB ;SAMBAND;Batch: Uppgifter om mvilka som avsagt sig årsrapport
C10-B-STATI-E99-SMB ;SAMBAND;Lämnar statistik
C10-B-Z01-SMB ;SAMBAND;
DAFA-B-UPPGIFT-DAFA-CREG-L82-SMB ;SAMBAND;L82 hämtar uppgifter från DAFA/Spar för att uppdatera CREG.
D03-B-L33-SMB ;SAMBAND;
D09-B-J01-SMB ;SAMBAND;Batch: Hämtar uppgifter för utskrift av korrespondens och visitkort
D09-B-KUND-INFO-D73-SMB ;SAMBAND;Information om nya kunder
D12-B-NAMN-D73-SMB ;SAMBAND;Namn information
D12-B-SIGILL-E06-SMB ;SAMBAND;Hämtar sigillnyckel
D14-B-INBET-TRANS-L82-SMB ;SAMBAND;BATCH: L82 tar emot inbetalningstransaktioner från Folksam Konto.
D14-B-KONTO-AVSLUT-B40-SMB ;SAMBAND;Kontoavslut från D91, Kommer från D91 och sorteras / splittras i D14.
D14-B-KONTO-AVSLUT-S50-SMB ;SAMBAND;KONTOAVSLUT FRÅN SYSTEM D91 MED RESTERANDE PREMIEKRAV
D14-B-L35-SMB ;SAMBAND;
D14-B-O36-SMB ;SAMBAND;Batch
D14-B-STANSFIL-L13-SMB ;SAMBAND;STANSFIL KOMMER VIA D14
D21-B-ADRESS-INFO-B40-SMB ;SAMBAND;Adressinformation
D21-B-FK-UPP-E33-SMB ;SAMBAND;FK-upp till R/3
D21-B-FKADRESSER-R3-SMB ;SAMBAND;Batch: Bokföringsfil
D21-B-FKUPPG-E06-SMB ;SAMBAND;Hämtar FK-uppgifter
D21-B-K60-SMB ;SAMBAND;Adressuppgifter
D21-B-POSTNR-C10-SMB ;SAMBAND;Batch: Hämtar MO, FKO, LÄN, KOMMUM
D21-B-POSTNR-D91-SMB ;SAMBAND;POSTNUMMER
D21-B-POSTNR-E06-SMB ;SAMBAND;Hämtar postnummer
D21-B-POSTNR-K70-SMB ;SAMBAND;Postnr och FK-adresser
D23-B-INTERNDEB-J01-SMB ;SAMBAND;Interndebiteringsuppgifter
D23-B-INTERNDEB-TRANS-R3-SMB ;SAMBAND;BATCH: INTERNDEBITERINGSTRANSAR
D24-B-BOKFÖR-TRANS-R3-SMB ;SAMBAND;Sekvensiell fil avseende bokföringsposter
D38-NAMN-INFO-D73-SMB ;SAMBAND;Namn från behörighetssystem
D39-B-J01-SMB ;SAMBAND;Batch: Hämtar uppgifter för utskrift av laserblanketter
D46-B-L33-SMB ;SAMBAND;
D50-B-EDIFACT-FOLKSAM-SMB ;SAMBAND;D50 skickar Edi-meddelanden via standarden EDIFACT
D50-B-EDIFACT-LF-SMB ;SAMBAND;Skickar Edi-meddelanden via standarden EDIFACT till LF
D50-B-EDIFACT-SKANDIA-SMB ;SAMBAND;Skapar EDIFACT-fil till SKANDIA
D50-B-REGRESSER-N80-SMB ;SAMBAND;Regresser
D70-B-O36-SMB ;SAMBAND;Batch
D77-B-INMATADE-INBET-D90-SMB ;SAMBAND;Inmatade inbetalningar
D77-B-INMATADE-TRANS-E66-SMB ;SAMBAND;Inmatade transaktioner
D77-B-L25-SMB ;SAMBAND;
D77-B-TP-TRANS-L82-SMB ;SAMBAND;BATCH: TP-transaktioner från L82:S rutiner kommer via D77
D77-B-TRANS-IN-B40-SMB ;SAMBAND;Inmatade transaktioner
D77-B-UTBET-E06-SMB ;SAMBAND;Utbetalning
D77-B-UTBET-L35-SMB ;SAMBAND;UTBETALNINGAR - ENGÅNGS
D77-O-L81-SMB ;SAMBAND;Loggar online transar
D77-O-TP-O36-SMB ;SAMBAND;TP.
D90-B-INBET-D14-SMB ;SAMBAND;Inbetalningar till O27
D90-B-INBET-L82-SMB ;SAMBAND;Inbetalningar till L82
D90-B-INBET-N80-SMB ;SAMBAND;Inbetalningar till N80 (Wital)
D90-B-INBET-O21-SMB ;SAMBAND;Inb. till O21/O27. Kryptering
D90-B-INBET-O22-SMB ;SAMBAND;Inbetalningar till O22
D90-B-INBET-O24-SMB ;SAMBAND;Inbetalningar till O24
D90-B-INBET-O32-SMB ;SAMBAND;Inbetalningar till O22. Kryptering
D90-B-KRYPT-B40-SMB ;SAMBAND;Kryptering
D90-B-KRYPT-PNR-C10-SMB ;SAMBAND;Krypterar PNR
D90-B-OPTISK-INBET-O46-SMB ;SAMBAND;Fil med optiska inbet
D90-BOKFÖR-UNDERLAG-E66-SMB ;SAMBAND;Dekrypt. av PNR, bokförings underlag
D90-INBET-H30-SMB ;SAMBAND;Inbetalningar till S51, B41 via H31, Kryptering av PNR
D90-INBET-KRYPT-N60-SMB ;SAMBAND;Inbetalningar till N60, kryptering
D90-INBET-K70-SMB ;SAMBAND;Inbetalningar till K70
D90-KRYPT-K60-SMB ;SAMBAND;Kryptering
D90-KRYPT-PNR-G50-SMB ;SAMBAND;kryptering av pnr
D90-KRYPT-PNR-G60-SMB ;SAMBAND;Kryptering av pnr
EDI-B-K60-SMB ;SAMBAND;
E06-B-BOKFÖR-TRANS-R3-SMB ;SAMBAND;Bokföringsposter
E06-B-KONTROLL-UPPGIFT-V02-SMB ;SAMBAND;Underlag för kontrolluppgift
E06-B-RETUR-K70-SMB ;SAMBAND;Returer till K70
E06-B-RETURER-D90-SMB ;SAMBAND;Returer tillbaka t. förs.
E06-B-UTBET-FSB-SMB ;SAMBAND;Utbetalningar FSB
E06-B-UTBET-Y05-SMB ;SAMBAND;Utbetalningsinformation
E06-O-KOLL-MOT-KONTOPLAN-E15-SMB ;SAMBAND;Kontrollerar mot kontoplan
E06-O-UTBET-TEXT-B40-SMB ;SAMBAND;Hämtar utbetalningstext till mottagare
E06-O-UTBET-TEXT-S50-SMB ;SAMBAND;Levererar veriofikationsnummer
E06-O-VERNR-E66-SMB ;SAMBAND;Levererar verifikationsnummer
E08-B-BOKFÖR-R3-SMB ;SAMBAND;Bokföringsposter
E15-B-KSTÄLLE-D73-SMB ;SAMBAND;Kostnadsställen
E15-B-K60-SMB ;SAMBAND;
E33-B-BOKFÖR-R3-SMB ;SAMBAND;Bokföringsposter
E33-B-FAKTURA-UNDERLAG-Y80-SMB ;SAMBAND;Redigerar fakturaunderlag
E66-B-BOKFÖR-TRANS-R3-SMB ;SAMBAND;Bokföringsposter
FOLKSAM-B-EDIFACT-D50-SMB ;SAMBAND;Folksam skickar Edi-meddelanden via standarden EDIFACT
FSB-B-RETUR-E06-SMB ;SAMBAND;Utbetalningsinfo och returer
FSBSIS-B-BETAL-REDOVIS-D91-SMB ;SAMBAND;Beatlningsredovisning FSB / SIS
G01-B-L50-SMB ;SAMBAND;
G50-B-KAMPANJ-SVAR-G60-SMB ;SAMBAND;Kampanjsvar
G60-B-ICE-Z01-SMB ;SAMBAND;IC/E
H20-B-Y05-SMB ;SAMBAND;BATCH
H30-B-INBET-B40-SMB ;SAMBAND;Inbetalningar från D90
H30-B-UTBET-E06-SMB ;SAMBAND;Utbetalningar från H30
H30-INBET-S50-SMB ;SAMBAND;Inbetalningar från D90
H30-O-BEST-INFO-B40-SMB ;SAMBAND;Beståndsinformation
H30-O-BEST-INFO-2-B40-SMB ;SAMBAND;ONLINE Beståndsinformation
H30-O-INBET-S50-SMB ;SAMBAND;ONLINE - Inbetalningar
H30-O-KUND-INFO-S50-SMB ;SAMBAND;ONLINE - Kundinformation
H30-O-OPLAC-INBET-B40-SMB ;SAMBAND;ONLINE Oplacerade inbetalningar
H39-B-AVI-K70-SMB ;SAMBAND;Uppdaterar
H40-B-LAS-LXTTABELL-H50-SMB ;SAMBAND;Läser H50:s LXTTabell för giltiga produkter
H40-B-P05-SMB ;SAMBAND;
H40-B-SÄLJINFO-MÅNAD-G01-SMB ;SAMBAND;
H40-B-SÄLJINFO-VECKA-G01-SMB ;SAMBAND;Säljinformation
H40-O-LAS-LXTTABELL-H50-SMB ;SAMBAND;Läser H50:s LXTTabell för giltiga produkter
H50-B-BEST-C10-SMB ;SAMBAND;Används i batch, läser
H50-B-BEST-1-C01-SMB ;SAMBAND;Beståndsfil
H50-B-BEST-2-C01-SMB ;SAMBAND;Beståndsfil
H50-B-BOKFÖR-TRANS-R3-SMB ;SAMBAND;BATCH: BOKFÖRINGSFIL
H50-B-CBR-TRANS-AVANMÄL-B40-SMB ;SAMBAND;CBR-transaktioner, avanmälningar
H50-B-LAS-D50-SMB ;SAMBAND;Läser D50:s DB2 tabeller
H50-B-PROVI-UPPGIFT-H40-SMB ;SAMBAND;Provisionsuppgifter
H50-B-SKADE-INFO-G60-SMB ;SAMBAND;Skadeinbfo
H50-B-SKADEBEST-C03-SMB ;SAMBAND;Skadebestånd
H50-B-SKRIV-D50-SMB ;SAMBAND;Skriver till D50:s DB2-tabeller. Använder D50:s objekt och logikmoduler.
H50-B-Z01-SMB ;SAMBAND;
H50-B-Z03-SMB ;SAMBAND;PDP-program
H60-O-KALKYL-WINCABAS-SMB ;SAMBAND;ON-line: Kalkyldata
H60-O-LAS-PERSON-UPPG-CBR-SMB ;SAMBAND;Online: personuppgifter, tekniska data
H60-O-LAS-SKADENR-H50-SMB ;SAMBAND;On-line: Skadenumemr, skadeuppgifter
H60-O-LAS-SKADENR-K60-SMB ;SAMBAND;Online: Skadenummer, skadeuppgifter
J01-B-INTERNDEB-D23-SMB ;SAMBAND;Interndebiteringsuppgifter
K60-B-BOKFÖR-TRANS-R3-SMB ;SAMBAND;BATCH:BOKFÖRINGSFIL
K60-B-CBR-SMB ;SAMBAND;
K60-B-EDI-SMB ;SAMBAND;
K60-B-G50-SMB ;SAMBAND;
K60-B-LAS-D50-SMB ;SAMBAND;Läser D50:s DB2 tabeller. Använder D50:s objekt och logikmoduler.
K60-B-P10-SMB ;SAMBAND;
K60-B-RSV-SMB ;SAMBAND;
K60-B-SKADE-INFO-C03-SMB ;SAMBAND;Skadeinformation
K60-B-SKADE-INFO-G60-SMB ;SAMBAND;Skedeinfo
K60-B-SKADE-TRANS-B40-SMB ;SAMBAND;Skadetransaktioner
K60-B-SKRIV-D50-SMB ;SAMBAND;Skriver till D50:s DB2 tabeller. Använder D50:s objekt och logikmoduler.
K60-B-S50-SMB ;SAMBAND;
K60-B-TFF-SMB ;SAMBAND;
K60-B-Y05-SMB ;SAMBAND;
K60-B-Z01-SMB ;SAMBAND;
K60-B-Z03-SMB ;SAMBAND;PDP-program
K60-O-BEST-INFO-S50-SMB ;SAMBAND;ONLINE: BESTÅNDSINFORMATION FÖRSÄKRINGSBELOPP
K60-O-N60-SMB ;SAMBAND;Födas levererar
K60-O-SKADEKONTO-INFO-K70-SMB ;SAMBAND;Skadekontoinformation
K60-O-VERNR-E06-SMB ;SAMBAND;Hämtar vernr och CICS-koppling
K70-B-ÅRSRENSNING-Y05-SMB ;SAMBAND;Årsrensning
K70-B-AVIRADER-H39-SMB ;SAMBAND;Avirader
K70-B-BETAL-UPPDRAG-D91-SMB ;SAMBAND;Betalningsuppdrag
K70-B-BOKFÖR-UPPGIFT-Y10-SMB ;SAMBAND;Bokföringsuppgifter
K70-B-KURKTO-H10-SMB ;SAMBAND;
K70-B-OBET-SKULDER-FI-SMB ;SAMBAND;OBETALDA SKULDER
K70-B-TRANS-H39-SMB ;SAMBAND;Poster
K70-B-UTBET-E06-SMB ;SAMBAND;Utbetalninagr från K70
K70-O-ADRESS-UPPGIFT-N60-SMB ;SAMBAND;Adressuppgifter
K70-O-ADRESS-UPPGIFT-Y05-SMB ;SAMBAND;Adressuppgifter
K70-O-BEHÖRIGHET-D38-SMB ;SAMBAND;Behörighet
K70-O-KINDINDEX-H30-SMB ;SAMBAND;Kundindex
K70-O-KONTO-HANTERING-Y10-SMB ;SAMBAND;KONTOhantering
K70-O-KONTO-REDOVIS-Y10-SMB ;SAMBAND;KONTOREDOVISNING
K70-O-KONTO-REDOVIS2-Y10-SMB ;SAMBAND;KONTOREDOVISNING
K70-O-KREDIT-UPPLYS-SOLID-SMB ;SAMBAND;KREDITUPPLYSNING
K70-O-MENYSYSTEM-D46-SMB ;SAMBAND;Menysystem
K70-O-OMBOKNING-Y10-SMB ;SAMBAND;OMBOKNING
K70-O-OMBUDS-KONTROLL-P05-SMB ;SAMBAND;Ombudskontroll
K70-O-OMBUDS-KONTROLL-P25-SMB ;SAMBAND;Ombudskontroll
K70-O-OPLACERADE-Y10-SMB ;SAMBAND;OPLACERADE
K70-O-SKADEKONTO-UTBET-K60-SMB ;SAMBAND;Skadekontoutbetalning
K70-O-SKAPA-TRANS-Y10-SMB ;SAMBAND;Skapa transaktion
LF-B-EDIFACT-D50-SMB ;SAMBAND;LF skickar Edi-meddelanden via standarden EDIFACT
L00-B-L25-SMB ;SAMBAND;Batch: Ränteberäkning, Textredigering
L00-B-L89-SMB ;SAMBAND;
L00-B-VÄRDE-KOLL-FORA-L88-SMB ;SAMBAND;VÄRDEKONTROLL BAND FRÅN FORA
L00-O-L33-SMB ;SAMBAND;Online - Subprogram för redigering DB2-läsning
L00-O-TP-RUTIN-L82-SMB ;SAMBAND;ONLINE: L00 är ingång till L82:s TP-rutiner
L13-B-UTBETAL-L35-SMB ;SAMBAND;UTBETALNINGSBELOPP TILL L35
L25-B-INFO-FONDER-L88-SMB ;SAMBAND;BATCH: INFORMATION OM FONDERNA
L25-B-TRANS-LISTA-L88-SMB ;SAMBAND;BATCH: TRANSAKTIONSLISTA TILL ÅRSBESKED
L25-B-Z03-SMB ;SAMBAND;PDP-program
L25-O-L00-SMB ;SAMBAND;Online: Menyval till TP-rutin, Bolagshantering, Signaturkontroll
L33-B-D09-SMB ;SAMBAND;
L33-B-D77-SMB ;SAMBAND;SKAPAR D77-TRANSAR
L33-B-L25-SMB ;SAMBAND;
L33-B-L81-SMB ;SAMBAND;Subbar
L33-B-O84-SMB ;SAMBAND;AMF
L33-B-O86-SMB ;SAMBAND;AMF
L33-B-P05-SMB ;SAMBAND;
L33-B-R61-SMB ;SAMBAND;ALLA GENERELLA PROGRAM
L33-O-L00-SMB ;SAMBAND;Online: Menyval till TP-rutin, Bolagskontroll, Frågebild för visning av adresser från L33.ADRESSE, Uppdatering av adresser till försäkringskassa och sjukhus
L33-O-L80-SMB ;SAMBAND;SUBBAR
L33-O-L81-SMB ;SAMBAND;SUBBAR
L33-O-L82-SMB ;SAMBAND;SUBBAR
L33-O-L89-SMB ;SAMBAND;BERÄKNINGSSUBBAR
L35-B-BOKFÖR-UTBET-R3-SMB ;SAMBAND;BOKFÖRING UTBETALNINGAR
L35-B-INTERNDEB-L82-SMB ;SAMBAND;INTERNDEBITERING
L35-B-KONTROLL-UPPGIFT-RSV-SMB ;SAMBAND;INKOMSTKONTROLLUPPGIFTER
L35-B-KUROFL-H10-SMB ;SAMBAND;
L35-B-KURSPF-H10-SMB ;SAMBAND;
L35-B-L00-SMB ;SAMBAND;BATCH: RÄNTEBERÄKNING, REDIGERING AV KIS-TRANSAR
L35-B-L25-SMB ;SAMBAND;BREV / LISTOR
L35-B-L35SPL-H10-SMB ;SAMBAND;
L35-B-L73-SMB ;SAMBAND;
L35-B-L87-SMB ;SAMBAND;
L35-B-L89-SMB ;SAMBAND;
L35-B-PERSONINFO-Y05-SMB ;SAMBAND;PERSONINFORMATION
L35-B-STATISTIK-AKTUARIER-SMB ;SAMBAND;STATISTIK
L35-B-UTBET-D77-SMB ;SAMBAND;UTBETALNINGAR, ENGÅNGS
L35-B-UTBET-E06-SMB ;SAMBAND;Utbetalningar
L35-O-AVTALSINFO-O01-SMB ;SAMBAND;AVTALSINFORMATION
L35-O-AVTALSINFO-O22-SMB ;SAMBAND;AVTALSINFORMATION
L35-O-INTERNDEB-L82-SMB ;SAMBAND;INTERNDEBITERING
L35-O-L00-SMB ;SAMBAND;Online: Menyval till TP-rutin, Bolags/branschkontroll, Signaturkontroll, Visning av populärtexter, Ränteberäkning, Redigering av KIS-transar
L35-O-O01-SMB ;SAMBAND;Online
L35-O-PERSONINFO-O24-SMB ;SAMBAND;PERSONINFORMATION
